time,delta0,delta1,delta2,delta3,delta4
826,0,-3,0,5,-6
827,2,-6,3,-1,0
828,2,-6,3,-1,0
829,2,-6,3,-1,0
830,1,-4,-1,-1,-4
831,1,-4,-1,-1,-4
832,1,-4,-1,-1,-4
833,-3,-8,-2,-2,-3
834,-3,-8,-2,-2,-3
835,-3,-8,-2,-2,-3
836,0,-5,-1,1,1
837,0,-5,-1,1,1
838,0,-5,-1,1,1
839,4,-6,5,4,8
840,4,-6,5,4,8
841,4,-6,5,4,8
842,7,-4,5,6,13
843,7,-4,5,6,13
844,7,-4,5,6,13
845,7,5,7,21,22
846,7,5,7,21,22
847,7,5,7,21,22
848,14,4,10,24,39
849,14,4,10,24,39
850,14,4,10,24,39
851,12,7,13,40,55
852,12,7,13,40,55
853,12,7,13,40,55
854,15,8,19,54,80
855,15,8,19,54,80
856,15,8,19,54,80
857,19,5,23,81,92
858,19,5,23,81,92
859,19,5,23,81,92
860,14,7,25,101,75
861,14,7,25,101,73
862,14,7,25,101,73
863,14,7,33,115,57
864,14,7,33,115,57
865,14,7,33,115,57
866,10,4,47,109,33
867,13,4,52,101,33
868,13,4,52,90,33
869,16,6,81,86,26
870,16,8,81,60,26
871,15,8,70,60,26
872,15,8,60,44,20
873,15,8,49,44,20
874,15,8,48,44,20
875,15,16,39,28,19
876,13,16,29,19,19
877,13,16,29,19,19
878,10,9,17,13,5
879,10,0,17,13,5
880,10,0,17,13,5
881,-3,-1,5,4,-2
882,-5,-1,5,-2,-2
883,-5,-1,5,-2,-2
884,1,-6,1,1,-4
885,1,-6,1,1,-4